Branch,Author,Review Text,Review Rating,Date,Likes,Cleaned Review Text
Sarjapur,Manaswita Sil,"My siblings and I had Meghana Special Biryani, which was strongly recommended by one of my Kannadiga friends. It was tasty, no doubt. But the showstopper was the starter named Chicken 555. It was superb. Tangy, spicy, flavorsome! Must try! The service and ambience were perfect.",5,10/05/2025,,siblings meghana special biryani strongly recommended one kannadiga friends tasty doubt showstopper starter named chicken superb tangy spicy flavorsome must try service ambience perfect
Sarjapur,Devesh Toshniwal,"Meghana's is the place to go for Hyderabadi Biryani in Bangalore, hands down. Their biryani is the best, period. We got the Paneer Biryani, Paneer 65, and Potato Biryani. The place is awesome, the service is fast, and the food always tastes amazing 👍 👌🏽 😋 You gotta try it 💯",4,23/08/2025,,meghanas place go hyderabadi biryani bangalore hands down biryani best period got paneer biryani paneer potato biryani place awesome service fast food always tastes amazing gotta try
Sarjapur,Arava Ranjhitha,"There's free parking available downstairs. The boneless chicken biryani was delicious, and the service was exceptional (10/10). I noticed a significant wait time on weekends, so I recommend arriving early to avoid the queue.<br><br>The security staff did an excellent job managing the seating arrangements. The tables were cleaned incredibly fast, allowing for quick turnover and minimizing wait times, which was truly impressive",5,12/06/2025,,theres free parking available downstairs boneless chicken biryani delicious service exceptional noticed significant wait time weekends recommend arriving early avoid queuebrbrthe security staff excellent job managing seating arrangements tables cleaned incredibly fast allowing quick turnover minimizing wait times truly impressive
Sarjapur,Harsh RJ,This is a good outlet for Meghana Foods located on Sarjapur road. The food is the same like the other outlets.<br>The service is good and you don't have to wait a lot for the food. The good point about this place is it has a good ambience and has seating capacity is enough so you will not have to usually wait for a table to get empty and then occupy it.<br>Overall a great place in Bangalore for delicious food.,4,28/04/2025,,good outlet meghana foods located sarjapur road food like outletsbrthe service good wait lot food good point place good ambience seating capacity enough usually wait table get empty occupy itbroverall great place bangalore delicious food
Sarjapur,Ramesh Nonia,"I've been a long-time fan of Meghana Foods and especially loved their Paneer Biryani. However, lately, the quality has noticeably declined. The biryani doesn’t taste as good as it used to, and the paneer has become tough and difficult to chew. It's disappointing to see such a beloved place lose its consistency.<br><br>Meghana Foods needs to take this feedback seriously and make efforts to improve the food quality again. If this continues, it could really impact their reputation and loyal customer base. I genuinely hope they bring back the same great taste and quality we once loved.",3,26/07/2025,,longtime fan meghana foods especially loved paneer biryani however lately quality noticeably declined biryani doesnt taste good used to paneer become tough difficult chew disappointing see beloved place lose consistencybrbrmeghana foods needs take feedback seriously make efforts improve food quality again continues could really impact reputation loyal customer base genuinely hope bring back great taste quality loved
Sarjapur,nidhin sugunan,"Ordered biryani from here for a Sunday brunch, but it turned out to be quite “mid.” I tried the Boneless Chicken Biryani, Meghana Special Biryani, and Chicken Biryani.<br><br>On the positive side, the packaging was neat, the quality was good, and the quantity was just right. The chicken pieces were tender, and the rice was flavorful. However, the downsides made it difficult to fully enjoy the meal. The masala in the Boneless Chicken Biryani was overly salty, while the Meghana Special had an overpowering eggy flavor in the masala, which was quite off-putting.<br><br>For a biryani that costs close to 400, I expected better. This inconsistency is exactly why I had stopped ordering from Meghana in the past. With so many great options available in Bangalore now, I find it hard to justify coming back unless they work on maintaining consistency.",3,30/03/2025,,ordered biryani sunday brunch turned quite mid tried boneless chicken biryani meghana special biryani chicken biryanibrbron positive side packaging neat quality good quantity right chicken pieces tender rice flavorful however downsides made difficult fully enjoy meal masala boneless chicken biryani overly salty meghana special overpowering eggy flavor masala quite offputtingbrbrfor biryani costs close expected better inconsistency exactly stopped ordering meghana past many great options available bangalore now find hard justify coming back unless work maintaining consistency
Sarjapur,Battu Jeyavardhini,"We visited Meghana Foods last week, believe it or not, despite the prices, the food tastes so good. We ordered Chicken Fry Piece Biryani and Meghana Spl Biryani. Must try is Meghana Spl Biryani, it meets all the flavours that I ever tasted in Andhra. If you want to forget the budget for once in a week, you can visit Meghana Foods !!",4,10/05/2025,,visited meghana foods last week believe not despite prices food tastes good ordered chicken fry piece biryani meghana spl biryani must try meghana spl biryani meets flavours ever tasted andhra want forget budget week visit meghana foods
Sarjapur,Manish सारस्वत,"Okay, so I’m a vegetarian and never really vibed with veg biryani... but Meghna Food changed the game! Tried it here and wow—loved it. Totally worth giving it a shot. The quantity? Easily enough for two people, no kidding.<br><br>Also tried their Gobi Manchurian—crispy, tasty, and just hits right. The service was super nice too, especially for the price. And the place? Big, chill, and spacious. Great spot to just relax and enjoy some good food.<br><br>Veg or not, this place is def worth a visit!",5,13/04/2025,,okay im vegetarian never really vibed veg biryani meghna food changed game tried wowloved it totally worth giving shot quantity easily enough two people kiddingbrbralso tried gobi manchuriancrispy tasty hits right service super nice too especially price place big chill spacious great spot relax enjoy good foodbrbrveg not place def worth visit
Sarjapur,chidambarathanu,"One of the best non-veg restaurants I’ve ever visited!<br>The food was absolutely mouth-watering—every dish was rich in flavor, perfectly cooked, and served fresh. From juicy kebabs to delicious curries, every bite was a delight for meat lovers.<br><br>The staff were polite, attentive, and made sure we had a comfortable dining experience. Service was quick, and they handled all our requests with a smile.<br><br>The ambiance was cozy and clean, making it a great spot for both families and friends. The menu had a wide variety of non-veg dishes, and everything we tried was top quality.<br><br>Highly recommended for anyone who enjoys great non-vegetarian food and top-notch service.",5,03/05/2025,,one best nonveg restaurants ive ever visitedbrthe food absolutely mouthwateringevery dish rich flavor perfectly cooked served fresh juicy kebabs delicious curries every bite delight meat loversbrbrthe staff polite attentive made sure comfortable dining experience service quick handled requests smilebrbrthe ambiance cozy clean making great spot families friends menu wide variety nonveg dishes everything tried top qualitybrbrhighly recommended anyone enjoys great nonvegetarian food topnotch service
Singasandra,Nayana J,"The dine in experience at Meghana Foods was really nice. Tried Chicken fry piece biryani, banjara chicken and Chilli guava mojito. The biryani was really tasty and the chicken pieces were cooked well.. the mojito was refreshing and starter was not up to the mark. Overall had a great dinner time.",3,02/06/2025,,dine experience meghana foods really nice tried chicken fry piece biryani banjara chicken chilli guava mojito biryani really tasty chicken pieces cooked well mojito refreshing starter mark overall great dinner time
